# 数据来源：国家数据网“年度数据”页面 -> 指标 -> 人口 -> 人口年龄结构和抚养比
# 入口首页：https://www.stats.gov.cn/
# 页面地址：https://data.stats.gov.cn/dg/website/page.html#/pc/national/yearData
# 抓取时间：2026-04-11T09:52:05
# 抓取状态：首页点击“年度数据”超时，已回退到年度数据直链。 已通过 Playwright 抓取“人口年龄结构和抚养比”最近15年数据。
year	total_population	age_0_14_count	age_0_14_ratio	age_15_64_count	age_15_64_ratio	age_65_plus_count	age_65_plus_ratio	total_dependency_ratio	child_dependency_ratio	elderly_dependency_ratio
2011	134916	22261	16.5	100378	74.4	12277	9.1	34.4	22.1	12.3
2012	135922	22427	16.5	100718	74.1	12777	9.4	34.9	22.2	12.7
2013	136726	22423	16.4	101041	73.9	13262	9.7	35.3	22.2	13.1
2014	137646	22712	16.5	101032	73.4	13902	10.1	36.2	22.5	13.7
2015	138326	22824	16.5	100978	73.0	14524	10.5	37.0	22.6	14.3
2016	139232	23252	16.7	100943	72.5	15037	10.8	37.9	22.9	15.0
2017	140011	23522	16.8	100528	71.8	15961	11.4	39.3	23.4	15.9
2018	140541	23751	16.9	100065	71.2	16724	11.9	40.4	23.7	16.8
2019	141008	23689	16.8	99552	70.6	17767	12.6	41.5	23.8	17.8
2020	141212	25277	17.9	96871	68.6	19064	13.5	45.9	26.2	19.7
2021	141260	24678	17.5	96526	68.3	20056	14.2	46.3	25.6	20.8
2022	141175	23908	16.9	96289	68.2	20978	14.9	46.6	24.8	21.8
2023	140967	23063	16.4	96228	68.3	21676	15.4	46.5	24.0	22.5
2024	140828	22240	15.8	96565	68.6	22023	15.6	45.8	23.0	22.8
